State,2010 Lung & Bronchus,2010,2010 Pop,2011 Lung & Bronchus,2011,2011 Pop,2012 Lung & Bronchus,2012,2012 Pop,2013 Lung & Bronchus,2013,2013 Pop,2014 Lung & Bronchus,2014,2014 Pop,2015 Lung & Bronchus,2015,2015 Pop,2016 Lung & Bronchus,2016,2016 Pop,2017 Lung & Bronchus,2017,2017 Pop,2018 Lung & Bronchus,2018,2018 Pop,2019 Lung & Bronchus,2019,2019 Pop,2020 Lung & Bronchus,2020,2020 Pop
Montana,740,5570,989415,750,5690,997316,700,5550,1003783,700,5450,1013569,760,5850,1021869,760,5950,1030475,750,6070,1040859,750,6140,1052482,830,6080,1060665,820,5920,1068778,770,5850,1087211
Nebraska,1200,9230,1826341,1270,9430,1840672,1230,9030,1853303,1220,9060,1865279,1220,9550,1879321,1200,9540,1891277,1220,9740,1905616,1220,9520,1915947,1310,10320,1925614,1290,9780,1934408,1270,10560,1963273
Nevada,1920,12230,2700551,1510,12800,2712730,1930,13780,2743996,1970,13830,2775970,2040,14450,2817628,1770,13640,2866939,1700,14390,2917563,1680,13840,2969905,2090,14060,3027341,1880,14810,3080156,1850,16540,3115840
New Hampshire,1070,7810,1316470,1110,8210,1320202,1130,8350,1324232,1150,8470,1326622,1110,8450,1333341,1140,8090,1336350,1140,8680,1342307,1150,8670,1348787,1230,8080,1353465,1140,8610,1359711,1220,8060,1378702
New Jersey,6260,48100,8791894,6210,49080,8828117,5990,50650,8844942,5960,49440,8856972,6130,51130,8864525,5830,51410,8867949,5580,49750,8870827,5540,51680,8885525,5870,53260,8886025,6070,53400,8882190,6100,53340,9272392
New Mexico,920,9210,2059179,980,9630,2080450,1090,9640,2087309,1050,10090,2092273,1060,10210,2089568,990,9970,2089291,1020,9750,2091630,1010,10040,2091784,1090,9730,2092741,1070,9460,2096829,1040,9800,2118488
New York,13720,103340,19378102,14200,107260,19499241,13620,109440,19572932,13480,108760,19624447,13720,107200,19651049,13180,107840,19654666,13200,110280,19633428,12700,107530,19589572,13190,110800,19530351,13380,111870,19453561,13370,117910,20104710
North Carolina,7520,45120,9535483,7300,48870,9657592,7950,51860,9749476,8040,53200,9843336,7850,52550,9932887,7750,50420,10031646,7870,54450,10154788,7940,56900,10268233,8490,55130,10381615,8010,58690,10488084,8470,59620,10453812
North Dakota,410,3300,672591,420,3560,685225,460,3510,701176,460,3510,722036,400,3730,737401,440,3840,754066,480,3930,754434,480,4180,754942,500,4110,758080,430,3940,762062,460,4060,779563
Ohio,10710,64450,11536504,10060,65060,11544663,10270,66560,11548923,10230,66610,11576684,9760,67000,11602700,10000,65010,11617527,10550,66020,11634370,10660,68180,11659650,10760,68470,11676341,9680,67150,11689100,10110,71850,11798292
Oklahoma,3250,18670,3751351,3270,18980,3788379,3370,19210,3818814,3370,20160,3853214,3320,19830,3878187,3220,19280,3909500,3150,19650,3926331,3050,18710,3931316,3210,19030,3940235,3220,20540,3956971,3200,20530,3965234
Oregon,2810,20750,3831074,2860,21180,3872036,2920,21370,3899001,2860,21720,3922468,2950,22530,3963244,2830,22410,4015792,2970,22510,4089976,2900,21780,4143625,3140,21520,4181886,2900,23320,4217737,2930,23330,4245044
Pennsylvania,10520,75260,12702379,10900,78030,12745815,10890,78340,12767118,10980,79560,12776309,10290,79920,12788313,10540,81540,12784826,10500,83560,12782275,9930,77710,12787641,10470,80960,12800922,10380,79890,12801989,10710,80240,12995477
Rhode Island,840,5970,1052567,880,6090,1053649,860,6310,1054621,870,6280,1055081,870,6370,1055936,880,6040,1056065,890,6190,1056770,860,5870,1055673,880,5920,1058287,940,6540,1059361,920,5930,1096444
South Carolina,3970,23240,4625364,3900,25510,4671994,4270,26570,4717354,4390,27620,4764080,4130,26390,4823617,4040,25550,4891938,4280,27980,4957968,4320,28680,5021268,4630,30450,5084156,4360,29830,5148714,4460,31710,5132151
South Dakota,540,4220,814180,580,4430,823579,620,4430,833566,620,4570,842316,540,4490,849129,570,4520,853988,590,4690,862996,590,4920,872868,650,5100,878698,580,4770,884659,590,4960,887852
Tennessee,5980,33070,6346105,5870,34750,6399291,6140,35610,6453898,6200,36580,6494340,5980,36570,6541223,6200,38300,6591170,6010,37650,6646010,5830,37080,6708799,6030,36760,6771631,6210,37350,6829174,6300,39360,6926091
Texas,14030,101120,25145561,13380,105000,25645629,14810,110470,26084481,15000,112230,26480266,14890,115730,26964333,13650,113630,27470056,14620,116690,27914410,14560,116200,28295273,15460,121860,28628666,14750,124890,28995881,14830,129770,29234361
Utah,620,9970,2763885,630,10530,2814384,880,10620,2853375,800,10810,2897640,650,10780,2936879,660,11050,2981835,890,11030,3041868,850,10990,3101042,900,10950,3153550,780,11620,3205958,730,11900,3283982
Vermont,490,3720,625741,530,3950,627049,550,4060,626090,590,4200,626210,550,4130,625214,570,4020,625216,510,4050,623657,510,4000,624344,560,3840,624358,510,3920,623989,570,3740,642936
Virginia,5510,36410,8001024,5670,38720,8101155,5550,41380,8185080,5380,40870,8252427,5580,40970,8310993,5740,41170,8361808,5690,43190,8410106,5400,42770,8463587,5860,42420,8501286,5950,45440,8535519,5960,47550,8637193
Washington,4320,34500,6724540,4540,35360,6826627,4700,35790,6897058,4700,37290,6963985,4630,38230,7054655,4790,38180,7163657,4670,37770,7294771,4390,32560,7423362,4810,36170,7523869,4770,39160,7614893,4790,36290,7724566
West Virginia,2070,10610,1852994,2080,11080,1856301,2070,11610,1856872,2100,11450,1853914,2090,11700,1849489,2080,11730,1842050,2020,11770,1831023,1980,11690,1817004,2060,12110,1804291,2010,12440,1792147,2030,12380,1791562
Wisconsin,3990,29610,5686986,4020,30530,5705288,4220,31920,5719960,4310,31590,5736754,4020,32480,5751525,4370,32700,5760940,4230,32970,5772628,4280,32990,5790186,4400,33340,5807406,4150,34220,5822434,4290,35280,5896700
Wyoming,320,2540,563626,310,2680,567299,330,2650,576305,320,2700,582122,330,2890,582531,320,2860,585613,310,2920,584215,320,2780,578931,330,2780,577601,310,2930,578759,320,2880,577664
United States,222520,1529560,308745538,221130,1596670,311556874,226160,1638910,313830990,228190,1660290,315993715,224210,1665540,318301008,221200,1658370,320635163,224390,1685210,322941311,222500,1688780,324985539,234030,1735350,326687501,228160,1762450,328239523,228820,1806590,"331,526,933"
