State Abbreviation,2011(C),2012(C),2013(C),2014(C),2015(C),2016(C),2017(C),2018(C),2019(C),2020(C),2011(G),2012(G),2013(G),2014(G),2015(G),2016(G),2017(G),2018(G),2019(G),2020(G),2011(P),2012(P),2013(P),2014(P),2015(P),2016(P),2017(P),2018(P),2019(P),2020(P),2011(N),2012(N),2013(N),2014(N),2015(N),2016(N),2017(N),2018(N),2019(N),2020(N),2011(TR),2012(TR),2013(TR),2014(TR),2015(TR),2016(TR),2017(TR),2018(TR),2019(TR),2020(TR),2011(BM),2012(BM),2013(BM),2014(BM),2015(BM),2016(BM),2017(BM),2018(BM),2019(BM),2020(BM),2011(GT),2012(GT),2013(GT),2014(GT),2015(GT),2016(GT),2017(GT),2018(GT),2019(GT),2020(GT),2011(HP),2012(HP),2013(HP),2014(HP),2015(HP),2016(HP),2017(HP),2018(HP),2019(HP),2020(HP),2011(S),2012(S),2013(S),2014(S),2015(S),2016(S),2017(S),2018(S),2019(S),2020(S),2011(W),2012(W),2013(W),2014(W),2015(W),2016(W),2017(W),2018(W),2019(W),2020(W),State,2010_LungBronchus,2010_AllSites,2011_LungBronchus,2011_AllSites,2012_LungBronchus,2012_AllSites,2013_LungBronchus,2013_AllSites,2014_LungBronchus,2014_AllSites,2015_LungBronchus,2015_AllSites,2016_LungBronchus,2016_AllSites,2017_LungBronchus,2017_AllSites,2018_LungBronchus,2018_AllSites,2019_LungBronchus,2019_AllSites,2020_LungBronchus,2020_AllSites
NH,24489,14191,16778,14867,10989,5277,3617,7798,4182,1518,72778,74336,55649,58785,70742,59638,53633,51471,55366,53630,147637,138269,144512,155001,152764,146737,152656,155704,152435,136963,87508,85814,114173,106350,99186,112551,104493,105195,113890,103052,52027,50256,59059,61731,67603,62838,66803,62624,62394,51219,35670,36249,41530,44447,51507,47703,49094,45512,44270,34337,27,29,29,29,29,29,29,29,29,29,15592,11869,13617,13135,11831,10570,13015,12328,13011,10768,96,124,169,206,292,547,875,1055,1228,1483,642,1986,3713,3914,3944,3989,3790,3700,3857,4602,New Hampshire,1070,7810,1110,8210,1130,8350,1150,8470,1110,8450,1140,8090,1141,8680,1150,867,1230,8080,1140,8610,1220,8060
NJ,49592,25589,25910,30731,22925,17455,16488,16732,13780,12144,677521,670827,711999,805145,778866,793928,734147,799555,790685,678931,931578,884720,878077,856154,877467,888468,858632,888315,842885,686425,351658,346962,348784,329533,347851,312569,355948,334373,278147,279308,74190,76886,86152,91005,81586,85369,83836,84239,84994,80762,65958,62806,68475,70479,59875,62371,57421,55033,52416,44783,435,466,466,466,466,466,466,466,466,466,237,102,174,164,89,87,126,323,236,135,7458,13401,16933,19678,20956,22252,25617,28212,31680,35203,102,110,104,217,201,192,207,206,196,175,New Jersey,6260,48100,6210,49080,5990,50650,5960,49440,6130,51130,5830,51410,5580,49750,5540,51680,5871,53260,6070,53400,6100,53340
NM,284737,263439,256377,215348,215703,197083,199114,136824,151468,138968,251838,249815,252867,256056,260038,259158,249357,281322,305538,292036,232633,233394,232460,240408,237701,235515,249356,257803,262605,237384,0,0,0,0,0,0,0,0,0,0,43298,45164,46411,48148,48909,64769,78080,95244,105040,106513,18818,17651,19515,18898,20804,21047,20438,23221,26378,21828,442,368,368,451,458,499,487,487,885,835,1892,2120,876,936,926,1365,1779,1361,1408,1777,1698,3844,4724,6234,7253,8587,13069,14754,15037,18739,20447,21181,20927,21631,19466,33271,42307,55421,61333,63334,New Mexico,920,9210,980,9630,1090,9640,1050,10090,1060,10210,990,9970,1020,9750,1010,10040,1090,9730,1070,9460,1040,9800
NV,62701,52850,64838,79230,36635,30765,27297,34996,37177,27778,255970,281432,282245,261902,312602,316653,305309,310875,315564,310715,267077,261495,268244,275622,266639,289383,306479,308260,306466,245204,0,0,0,0,0,0,0,0,0,0,58036,63674,74096,76197,85212,99674,109544,117235,125022,125514,10111,9303,10305,11481,12513,14187,14630,15717,15870,13689,22419,23886,27022,27496,30519,32493,31859,33045,36335,34870,21284,23223,25588,22717,21088,16511,16691,17116,19952,16862,4222,6036,8790,11649,18207,33310,43037,48516,49933,57245,0,1226,2390,2854,2885,3173,3327,2842,2931,2848,Nevada,1920,12230,1510,12800,1930,13780,1970,13830,2040,14450,1770,13640,1700,14390,1680,13840,2090,14060,1880,14810,1850,16540
NY,125181,72914,68707,64655,41241,29679,19553,16710,13648,5681,1247757,1260950,1315282,1392378,1396693,1336455,1276905,1393657,1337750,1305282,1387352,1341448,1330482,1382080,1383266,1382206,1378849,1423244,1386269,1066114,446761,427277,467651,450141,466457,434791,441029,448718,468481,401441,438840,399747,418075,437667,448392,454021,490642,489219,498124,468231,135968,132355,140965,145391,160141,157681,159888,164409,162300,139541,1283,1185,1185,1185,1185,1185,1185,1185,1185,1185,272019,234593,238270,248060,242299,248125,277575,269574,272495,259064,2093,3147,3885,5296,7725,10670,13911,17674,22491,28799,27478,28468,33770,37736,37042,36360,38084,36377,39653,39642,New York,13720,103340,14200,107260,13620,109440,13480,108760,13720,107200,13180,107840,13200,110280,12700,107530,13190,110800,13380,111870,13370,117910
OH,1222606,1019140,1104486,1057377,865714,825311,810953,717818,594257,556769,848771,869556,945731,1058802,1031716,994162,1014299,1236747,1260474,1233412,1067554,1045080,1053987,1062667,1081188,1082887,1073983,1089761,1070162,982394,155806,179055,168451,170319,181726,175893,184997,191483,177624,190316,138111,143509,160117,163389,157489,159177,156232,158726,160334,151400,128531,125625,139153,142875,136918,137760,133183,134397,131871,120825,3372,3435,3435,3435,3435,3435,3435,3435,3435,3435,3728,3941,5240,4545,4253,4617,2554,2220,3583,3281,551,1130,1356,1566,1677,1873,2434,2753,3266,3790,1928,9378,10933,10968,11205,11492,14627,15922,18180,20069,Ohio,10710,64450,10060,65060,10270,66560,10230,66610,9760,67000,10000,65010,10550,66020,10660,68180,10760,68470,9680,67150,10110,71850
OK,378320,327089,335925,336080,280748,221842,198309,171280,93953,70714,676910,712411,682277,667360,711393,736164,692145,842224,873688,847555,507576,522769,506028,535307,521667,520186,544537,541278,524240,474552,0,0,0,0,0,0,0,0,0,0,114750,135556,178059,177919,203058,260290,290968,324177,347056,337045,45595,46968,50705,50755,47467,51206,54515,56225,53420,53253,23,24,24,24,24,24,24,24,24,24,14641,10901,20781,13583,24812,23748,18749,18513,34735,25025,30,36,48,49,71,115,381,691,733,844,54461,77628,106501,113507,130684,185198,217298,248723,258143,257899,Oklahoma,3250,18670,3270,18980,3370,19210,3370,20160,3320,19830,3220,19280,3150,19650,3050,18710,3210,19030,3220,20540,3200,20530
OR,35135,28259,38900,34238,26515,19440,18723,16911,27430,17811,203607,220578,244265,226472,245897,249829,262532,271311,302229,282518,331023,323741,322313,325766,323140,327835,335127,339590,334509,300473,0,0,0,0,0,0,0,0,0,0,526732,507768,472016,495029,451541,482943,516930,502494,445620,473155,66252,68997,80146,82579,93349,92009,99322,100985,105017,100335,1286,1476,2803,2977,2898,2927,2838,2836,2883,2916,411131,375027,315785,335306,291098,318822,352611,322458,269836,279848,1665,1903,2147,2323,2429,3139,4825,8458,9429,13105,46398,60365,71135,71844,61766,66046,57334,67757,58457,76950,Oregon,2810,20750,2860,21180,2920,21370,2860,21720,2950,22530,2830,22410,2970,22510,2900,21780,3140,21520,2900,23320,2930,23330
PA,1212984,1093178,1126118,1039161,878829,734838,669540,644056,568781,374254,1000507,1079495,1175535,1304080,1313350,1354340,1404240,1515912,1679486,1783003,1208894,1157559,1181000,1207164,1187148,1138129,1151732,1170049,1134520,949953,796798,787753,822483,823277,842044,867302,870187,872749,869084,799342,215431,203830,235207,232509,235433,230921,240496,251952,234570,217902,162101,157080,173435,167629,174037,170698,171831,173457,166439,152305,2180,2162,2162,2162,2162,2162,2162,2162,2162,2162,31258,21334,24088,25115,24251,21912,28759,38773,31174,23429,2456,2997,3540,3707,3756,4069,4681,5108,5868,7145,17435,20256,31982,33897,31227,32079,33062,32452,28926,32861,Pennsylvania,10520,75260,10900,78030,10890,78340,10980,79560,10290,79920,10540,81540,10500,83560,9930,77710,10470,80960,10380,79890,10710,80240
RI,0,0,0,0,0,0,0,0,0,0,102465,98435,88274,91374,96514,88471,94730,104748,97931,100985,82254,78856,82166,86353,86112,74342,75184,82615,77313,68314,0,0,0,0,0,0,0,0,0,0,6901,6003,6106,7902,8469,8267,9567,10045,11832,13926,6573,5747,5818,7473,7992,7496,7439,7336,7779,7584,127,57,57,57,57,57,57,57,57,57,72,41,42,38,29,20,22,37,32,31,100,145,165,240,297,450,678,1172,2130,4372,28,13,25,94,94,245,1371,1443,1835,1883,Rhode Island,840,5970,880,6090,860,6310,870,6280,870,6370,880,6040,890,6190,860,5870,880,5920,940,6540,920,5930
SC,366160,298572,257319,305656,241217,221865,192751,205204,160703,137280,235465,250481,236942,236040,284013,284225,287408,338951,347904,343349,485250,468285,480197,479576,511425,522302,524166,526034,515839,465872,553573,535952,566879,548246,555909,583883,568390,551151,585828,571930,135879,138964,156589,158548,151230,150318,152847,165199,166366,173989,120127,124748,125730,133352,126557,128715,133265,130188,128634,121095,605,648,648,648,648,648,648,648,648,648,15100,13515,30152,24430,23884,20542,16897,27419,26485,33865,46,52,58,117,140,412,2036,6944,10599,18380,0,0,0,0,0,0,0,0,0,0,South Carolina,3970,23240,3900,25510,4270,26570,4390,27620,4130,26390,4040,25550,4280,27980,4320,28680,4630,30450,4360,29830,4460,31710
SD,32112,35574,34246,33062,19616,26660,26114,27618,31420,21692,73973,71501,84527,83919,83370,85021,85339,95548,97428,91244,112687,116746,112656,114520,115692,113289,112658,115313,116179,119687,0,0,0,0,0,0,0,0,0,0,154349,140762,128968,140135,138038,149018,148279,158194,169269,171078,62252,59574,62689,63760,67721,68514,70746,73493,72109,69450,1962,1868,1868,1868,1868,1868,1868,1868,1868,1868,64205,56915,38761,52283,45177,44345,48393,57011,70437,51117,5,6,6,9,10,15,32,29,32,38,25925,22399,25643,22216,23262,34275,27240,25793,24822,48606,South Dakota,540,4220,580,4430,620,4430,620,4570,540,4490,570,4520,590,4690,590,4920,650,5100,580,4770,590,4960
TN,481127,423086,399768,427509,370650,379775,334567,251835,216876,176104,267929,281007,284750,313887,322468,336341,331613,404318,420285,398610,673366,646741,655891,672629,687482,702677,694516,700650,713625,657467,281682,263045,297732,289401,261037,309357,332779,378224,372992,383245,191304,181037,226381,194804,196878,170822,182761,199132,191569,211994,97500,101260,106278,108613,105705,106205,100443,102527,97106,89848,199,213,213,213,213,213,213,213,213,213,93037,78942,118721,84636,89240,62511,80028,93643,90145,117937,53,170,723,856,1293,1545,1678,2377,3767,3653,516,452,446,486,427,348,399,373,338,344,Tennessee,5980,33070,5870,34750,614,35610,6200,36580,5980,36570,6200,38300,6010,37650,5830,37080,6030,36760,6210,37350,6300,39360
TX,1695239,1498818,1597357,1585961,1340422,1323111,1451978,1189311,992721,872845,3800578,3964124,4131225,4060590,4263856,4151065,3987778,4596600,4795216,4718367,5393262,5504726,5828991,5803534,6022376,6175136,6286229,6720839,6850186,6187966,414881,402823,400353,410907,411571,440109,403523,430597,431234,432869,524901,533395,584228,634054,672832,820815,915338,1009917,1071087,1149538,218877,216418,231668,242682,237474,264117,260442,272193,262990,237571,2488,2478,2478,2478,2478,2478,2478,2478,2478,2478,5471,5562,4580,3670,8908,12384,9779,10248,13130,9463,1260,2387,3231,4815,6394,10942,25141,36275,48351,89596,296805,306550,342270,380409,417578,530894,617498,688723,744138,810430,Texas,14030,101120,13380,105000,14810,110470,15000,112230,14890,115730,13650,113630,14620,116690,14560,116200,15460,121860,14750,124890,14830,129770
UT,346181,322055,355230,344054,330043,269016,274816,273117,266989,244280,230672,232630,258661,251649,242848,250199,231151,253819,276460,266595,276715,269396,271571,274435,276308,285349,294385,310060,305584,285122,0,0,0,0,0,0,0,0,0,0,31282,28026,25011,29679,33778,47601,64181,61286,60089,61965,9627,10023,10907,11185,14999,16556,16045,16879,17840,16269,4027,3993,3851,5768,4809,5285,5237,4864,3570,4111,11952,7116,4818,6018,7160,7009,11913,8435,7788,7160,110,196,285,433,980,11163,23084,23879,23607,27389,5565,6698,5150,6275,5830,7588,7903,7229,7285,7037,Utah,620,9970,630,10530,880,10620,800,10810,650,10780,660,11050,890,11030,850,10990,900,10950,780,11620,730,1190
VA,288348,222270,290508,278183,232427,222938,159813,149349,85120,75434,383436,424000,433438,438697,526314,572103,596648,667004,717725,748377,795625,796113,793774,830111,834674,844901,847776,869728,872814,739500,267334,300992,306430,316081,293455,310966,319562,305826,308013,314843,136050,134372,152518,167411,169053,167391,167010,183826,169910,170439,121982,122117,138197,155898,155759,151006,150998,157833,144528,136500,1764,1701,1701,1701,1701,1701,1701,1701,1701,1701,11760,9933,11961,9083,10790,13579,10279,16057,13520,17799,544,621,658,729,803,1104,4032,8235,10160,14439,0,0,0,0,0,0,0,0,0,0,Virginia,5510,36410,5670,38720,5550,41380,5380,40870,5580,40970,5740,41170,5690,43190,5400,42770,5860,42420,5950,45440,5960,47550
VT,0,0,0,0,0,0,0,0,0,0,8677,8287,9743,10853,12245,12383,12281,14208,14381,13589,79938,75387,78655,79824,81888,77727,77379,75792,77367,70379,51351,52283,50639,52929,0,0,0,0,0,0,33019,28836,36145,35555,41531,38701,40945,44258,43772,39823,18657,16557,21134,20763,26814,24707,24286,27044,25721,23307,27,29,29,29,29,29,29,29,29,29,13843,10956,12269,11176,10613,9943,11790,11538,11898,9904,170,277,462,627,1044,1335,2028,2251,2765,3221,322,1017,2252,2960,3030,2687,2812,3397,3359,3363,Vermont,490,3720,530,3950,550,4060,590,4200,550,4130,570,4020,510,4050,510,4000,560,3840,510,3920,570,3740
WA,56951,42656,74955,76547,58273,53302,61732,61166,80837,59443,272261,271947,327840,320167,327738,324929,350872,334779,378216,354969,694946,697816,698425,681853,732667,800690,769685,775777,794537,621358,50293,97808,88408,99332,85347,100674,85013,101502,92584,98475,1080055,1036980,942926,957292,891733,948976,967707,955305,797587,884394,125648,121432,128945,130961,140355,149698,144865,144912,147193,129421,1262,1136,1136,1136,1136,1136,1136,1136,1136,1136,892101,851343,745678,755615,683693,722975,756740,735877,587497,669883,199,266,338,471,649,957,1200,1505,2340,2722,60845,62803,66829,69109,65900,74210,63767,71875,59421,81231,Washington,4320,34500,4540,35360,4700,35790,4700,37290,4630,38230,4790,38180,4670,37770,4390,32560,4810,36170,4770,39160,4790,36290
WI,447370,373281,454554,417096,408189,357335,388614,362077,280108,249316,399247,410305,454050,479396,476969,501042,504808,565291,592529,571817,516508,501822,510487,543179,534079,524098,523110,548839,547523,493092,120962,149845,121994,98807,104666,106173,100919,105900,104736,102071,186444,178205,188808,195664,200490,200299,198839,203443,202897,183061,153143,147797,154023,155692,162766,159324,157696,164881,160588,140351,574,615,615,615,615,615,615,615,615,615,20859,14562,18880,23504,21801,25795,24468,21763,23502,24440,327,409,425,468,505,583,952,1286,1481,2195,11540,14822,14864,15386,14803,13983,15107,14899,16711,15460,Wisconsin,3990,29610,4020,30530,4220,31920,4310,31590,4020,32480,4370,32700,4230,32970,4280,32990,4400,33340,4150,34220,4290,35280
WV,822645,756716,771188,816460,730949,751957,710445,661760,621722,539707,124935,140133,152880,180222,191059,188491,199298,221402,239854,265123,199665,194403,195225,193011,189690,199199,191481,216968,208371,179259,0,0,0,0,0,0,0,0,0,0,53542,51398,61073,57169,44994,47885,49947,53573,49681,48020,28625,25431,31139,31440,19150,19415,19027,20488,19788,17204,30,32,32,32,32,32,32,32,32,32,14118,13622,16590,11810,12900,15118,15271,16810,15182,13957,57,75,84,85,93,104,126,140,163,188,10712,12238,13229,13801,12818,13216,15491,16103,14515,16638,West Virginia,2070,10610,2080,11080,2070,11610,2100,11450,2090,11700,2080,11730,2020,11770,1980,11690,2060,12110,2010,12440,2030,12380
WY,467671,490128,520699,489300,487177,457315,458496,455748,410221,388253,161776,158546,156110,142268,126421,132478,158370,175639,172235,169076,168323,172121,161686,171012,158389,152624,153755,159048,155232,138481,0,0,0,0,0,0,0,0,0,0,61810,55484,54820,56015,52372,58491,59425,54920,57094,68407,4436,4728,5052,5172,8604,8306,8586,8400,8867,8328,670,663,663,663,663,663,663,663,663,663,11890,8502,6782,8261,8087,8983,10346,8877,8832,9521,6,14,24,24,27,33,45,67,1687,1565,44809,41576,42298,41894,34990,40505,39785,36912,37045,48329,Wyoming,320,2540,310,2680,330,2650,320,2700,330,2890,320,2860,310,2920,320,2780,330,2780,310,2930,320,2880
US,19663856,17380923,18038771,17996577,15548985,14227138,13839632,13249958,11314925,9182696,24953771,26075691,26788768,27376838,28179686,28392790,28056891,31163246,32236174,31562036,34639718,33833375,34398415,34658248,35368448,35712347,36043829,36892286,36867235,32333489,8268698,8061822,8244433,8337559,8336886,8426753,8418968,8438068,8451852,8251075,9209646,8852895,9464268,9761070,9749471,10408644,11138359,11369899,11468314,11518077,4616493,4516952,4861035,5015522,5014887,5063053,5044599,5104513,5056000,4640247,212311,211592,214006,214474,211756,209541,210154,208769,201192,202805,3102852,2628702,2562382,2466317,2319932,2471371,2765466,2661383,2561788,2500996,110354,155590,225486,337397,426543,569992,776521,914505,1016276,1211326,1167636,1340059,1601359,1727360,1776353,2094687,2341619,2480728,2633058,2962703,United States,222520,1529560,221130,1596670,226160,1638910,228190,1660290,224210,1665540,221200,1658370,224390,1685210,222500,1688780,234030,1735350,228160,1762450,228820,1806590
