,State,2011(C),2012(C),2013(C),2014(C),2015(C),2016(C),2017(C),2018(C),2019(C),2020(C),2011(G),2012(G),2013(G),2014(G),2015(G),2016(G),2017(G),2018(G),2019(G),2020(G),2011(P),2012(P),2013(P),2014(P),2015(P),2016(P),2017(P),2018(P),2019(P),2020(P),2011(N),2012(N),2013(N),2014(N),2015(N),2016(N),2017(N),2018(N),2019(N),2020(N),2011(TR),2012(TR),2013(TR),2014(TR),2015(TR),2016(TR),2017(TR),2018(TR),2019(TR),2020(TR)
18,LA,269993,238811,228055,209973,174221,140513,142267,137818,90701,48718,1535704,1585876,1504969,1547176,1594207,1718305,1716392,1865382,1963925,1924573,1949628,1806173,1762715,1698933,1716529,1700751,1814440,1729715,1736963,1773653,173859,164092,177156,181059,160015,179391,161171,179330,145993,177055,135127,130783,151598,173371,158287,176181,161570,160945,150526,144854
19,MA,42963,24036,42208,29871,24177,20115,12407,101,71,0,464018,430920,435312,432523,457124,440725,462406,452093,442794,400675,574191,536809,564699,563978,577821,558903,561908,576328,572180,449040,53212,61402,45251,60340,52236,56628,52788,46437,22734,0,77232,73171,82560,87252,88979,93041,95856,101071,99536,94678
20,MD,241190,192334,183191,201220,165994,162931,106973,124191,77301,49692,199132,216558,206126,217227,225969,229508,232723,312824,311631,296585,480594,470103,478356,484711,499114,473740,470666,477626,474069,397572,150655,142297,149048,150017,153140,154377,158004,156699,156765,157531,80305,71341,78496,77492,73185,73766,80822,90288,79877,66952
21,ME,1542,1299,1657,2142,2588,2194,2168,2113,2160,1657,75061,70451,65886,62423,54203,54509,45125,48370,46301,47028,188435,170117,182365,185791,194972,186072,181420,171062,166761,157444,0,0,0,0,0,0,0,0,0,0,166773,162608,168347,164138,168574,150107,155506,155760,154606,138648
22,MI,691150,621633,658172,618479,617280,471236,499439,506105,447823,334428,787337,804084,831741,878128,871834,926828,908197,1010919,1054986,1003430,796407,778608,831484,847600,864500,880277,869880,896217,882063,756310,344155,293619,302194,326800,306773,329999,338675,318655,343639,316854,176632,179593,208916,221483,239503,234596,238177,247124,244587,235184
23,MN,315604,257875,267695,313073,271570,261250,257594,261530,205139,162702,424958,430277,478611,490111,448557,466365,466884,514172,549487,496026,580208,585141,600937,602446,595108,617809,611526,624491,640082,545473,125134,125159,111885,132904,125900,144970,145426,152657,147280,153319,241621,246583,245622,273992,278624,282936,293528,296986,298551,286430
24,MO,825650,768297,806549,780707,696401,639860,709796,668188,584662,551341,275308,258945,281399,301368,270885,273583,264614,330552,327798,303949,623832,599722,601720,614721,622945,619747,611040,619352,622101,576090,98062,112317,87428,97021,109182,98630,86853,111401,95961,80874,96371,84689,97726,98934,95606,94312,102440,110649,121475,117585
25,MS,107546,82456,97767,116537,71626,61219,53779,60015,51028,54188,437873,499946,426902,439557,536996,561342,543721,591886,583800,610312,369063,373429,364610,367502,377952,386987,384318,380952,383081,369614,108164,76456,113523,107228,122511,61680,77027,72343,115202,67595,75576,88539,76908,78055,74223,76967,71848,74057,70136,68741
26,MT,165687,157308,166104,175357,178421,161938,156073,152295,159165,98886,79470,75234,82298,80063,77443,77589,83319,90778,92649,87478,177760,173248,172419,168456,165080,166880,172427,171531,175168,174592,0,0,0,0,0,0,0,0,0,0,143494,127819,118144,137730,129412,132767,140885,147563,133863,142312
27,NC,624783,534713,493771,501592,405525,381761,350286,325121,318154,223906,311189,367948,445018,462289,516026,540271,520659,599308,569405,557570,830733,802771,812705,834289,857023,878993,885764,906189,905845,807695,424073,412722,420486,428474,440248,447500,443192,439915,437683,442166,188541,186574,228352,209090,206845,222384,240022,270114,275441,293174
28,ND,394771,406344,393193,399195,408091,394579,397875,407262,372018,363255,72247,71873,82334,89095,100852,105625,112146,130084,157419,150166,184822,199212,222215,236320,193722,164552,184122,190027,188349,163767,0,0,0,0,0,0,0,0,0,0,102733,99508,98237,111219,109747,125731,165938,163255,164419,176757
29,NE,285384,272587,292956,276544,266319,240465,233809,264072,240414,213747,173657,161770,179617,179705,170346,172929,175613,196445,198771,192725,231425,233031,231611,234466,234270,232829,233348,239157,242788,228175,72549,60795,71736,105655,107976,97798,72300,58884,72589,64646,144549,132976,138417,155904,164543,168536,186969,190495,203880,202857
30,NH,24489,14191,16778,14867,10989,5277,3617,7798,4182,1518,72778,74336,55649,58785,70742,59638,53633,51471,55366,53630,147637,138269,144512,155001,152764,146737,152656,155704,152435,136963,87508,85814,114173,106350,99186,112551,104493,105195,113890,103052,52027,50256,59059,61731,67603,62838,66803,62624,62394,51219
31,NJ,49592,25589,25910,30731,22925,17455,16488,16732,13780,12144,677521,670827,711999,805145,778866,793928,734147,799555,790685,678931,931578,884720,878077,856154,877467,888468,858632,888315,842885,686425,351658,346962,348784,329533,347851,312569,355948,334373,278147,279308,74190,76886,86152,91005,81586,85369,83836,84239,84994,80762
